ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,Periodo
FIX-6652-239,Verificacion,08/04/2021,08/10/2021,18/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,VAL-6652-000,,Calibración Vigente,183
FIX-6652-238,Verificacion,23/03/2020,22/09/2020,02/09/2020,Reparación,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,VAL-6652-000,,Reparación,183
FIX-6107-237,GO/NO GO,04/05/2021,03/11/2021,14/10/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Estampados,HDL-6107-100,,Calibración Vigente,183
FIX-6725-236,GO/NO GO,05/04/2019,05/10/2019,15/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6725-000,,Baja,183
FIX-6725-235,GO/NO GO,23/03/2021,22/09/2021,02/09/2021,Activo,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6725-000,,Calibración Vigente,183
FIX-6725-234,GO/NO GO,06/07/2019,05/01/2020,16/12/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6725-000,,Baja,183
FIX-6725-233,GO/NO GO,23/12/2019,23/06/2020,03/06/2020,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6725-000,,Baja,183
FIX-6798-232,GO/NO GO,08/07/2019,07/01/2020,18/12/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Baja,183
FIX-6798-231,GO/NO GO,05/04/2019,05/10/2019,15/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Baja,183
FIX-6798-230,GO/NO GO,05/04/2019,05/10/2019,15/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Baja,183
FIX-6798-229,GO/NO GO,05/04/2019,05/10/2019,15/09/2019,Baja,INTERNO,NA,NA,GO,NOGO,SMART SCOPE,INT066,Moldeo,HEL-6798-000,,Baja,183
FIX-BORE GAGE-228,27.465,22/03/2020,21/09/2020,01/09/2020,Baja,INTERNO,NA,NA,GO,NO GO,SMART SCOPE,INT066,Cold Forging,Verficacion CNC,,Baja,183
