ID,Descripción,Fecha de verificación,Próxima Verificación,Calendario de Verificacion,Estado,Método de verificación,Error-,Error+,Resolución+,Resolución-,Patrón,ID patrón,Usuario,Linea del cliente,Formato,Status,,Fuera de Calibración,,Periodo
DUM-875,Corto Pin 9 y 10 - 11,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-874,Corto Pin 7 y 8 - 9 y 10,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-873,Corto Pin 3 y 4 - 5 y 6,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-867,Corto Pin 18- 19,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-866,Corto Pin 17- 18,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-865,Corto Pin 16- 17,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-871,Corto Pin 15- 19,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-864,Corto Pin 14- 15,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-863,Corto Pin 13- 14,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-868,Corto Pin 12- 16,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-862,Corto Pin 12- 13,05/03/2021,05/09/2021,26/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,184.00
DUM-872,Corto Pin 1 y 2 - 3 y 4,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-832,8422 Pin8 corto 2.72,05/03/2021,05/09/2021,26/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,184.00
DUM-844,8422 Pin34 corto 7.914,05/03/2021,05/09/2021,26/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,184.00
DUM-845,8422 Pin33 corto 7.90,05/03/2021,05/09/2021,26/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,184.00
DUM-829,8422 Pin31 Corto 8.38,05/03/2021,05/09/2021,26/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,184.00
DUM-834,8422 Pin23 corto 2.17,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-833,8422 Pin22 corto 2.18,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-835,8422 Pin21 corto 6.86,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-831,8422 Pin19 Corto 2.54,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-830,8422 Pin15 Corto 2.60,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,,,,183.00
DUM-828,8422 Pin1 Corto 2.72,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-843,8422 Pin 36 corto 8.40,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-836,8422 Pin 20 corto 6.84,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-885,8422 Pieza OK,11/02/2021,13/08/2021,03/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-886,8422 Pieza OK,11/02/2021,13/08/2021,03/08/2021,Activo,INTERNO,NA,NA,NA,NA,Perfilometro,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-870,8422 Corto Pin 14- 18,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
DUM-869,8422 Corto Pin 13- 17,05/03/2021,04/09/2021,25/08/2021,Activo,INTERNO,NA,NA,NA,NA,Hypot,NA,Moldeo,VAL-8422-000,NA,Calibración Aceptada,FLOME,,,183.00
