['DUM-512', '6652 Baja Capacitancia', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-513', '6652 Baja Capacitancia', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-100', 'NA', 'NA', 'NA - NA', '6']
['DUM-1169', '6652-Falta Capacitor', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-595', '6652 TP Tap', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-596', '6652 TP Tap', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-597', '6652 TP Tap', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-593', '6652 Rayas', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-514', '6652 Pza OK Manchas', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-524', '6652 Pza Ok', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-590', '6652 Pza Ok', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-704', '6652 Plastico heat sink', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-701', '6652 Mancha heat sink', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-702', '6652 Mancha heat sink', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-703', '6652 Mancha heat sink', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-523', '6652 Cont No Ok', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-594', '6652 Chip', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-589', '6652 Capacitor fisurado', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-591', '6652 Capacitor fisurado', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-592', '6652 Capacitor fisurado', 'Calibración Aceptada', 'Activo', 'INTERNO', 'VAL-6652-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-089', '5061 TERM ABIERTA', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-087', '5061 SIN CONTAC BLADE', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-088', '5061 SIN CENTER RING', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-085', '5061 s/spring', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-244', '5061 S/CENTER RING (Foco)', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-243', '5061 S/CENTER RING', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-249', '5061 PZA OK COMP', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NO GO', '6']
['DUM-217', '5061 PZA OK C/CIRCUITO', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NO GO', 'GO ', 'NA - NA', '6']
['DUM-218', '5061 PZA NO OK S/CIRCUITO', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NO GO', 'GO ', 'NA - NA', '6']
['DUM-086', '5061 Hypot s/spring', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-317', '5061 Falla continuidad', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-318', '5061 Falla continuidad', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-319', '5061 Falla continuidad', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-320', '5061 Falla continuidad', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-321', '5061 Falla continuidad', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NA - NA', '6']
['DUM-001', '5061 CORTO ', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-002', '5061 CORTO ', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-003', '5061 CORTO ', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NO GO - NA', '6']
['DUM-004', '5061 CORTO ', 'Baja', 'Baja', 'INTERNO', 'VAL-5061-000', 'NA', 'NA', 'NO GO - NA', '6']
